inchikey,smiles_canonical,smiles_original,cas,name,chembl_id,endpoint,value,value_units,value_log,value_class,species,species_taxonomy,test_type,exposure_route,exposure_duration_h,effect,source,source_ref,source_record_id,year_reported,aggregation_n,aggregation_method,aggregation_cv,quality_flags
DAASOABUJRMZAD-UHFFFAOYSA-N,ClC1=C(Cl)C2(Cl)C(CBr)CC1(Cl)C2(Cl)Cl,ClC1=C(Cl)C2(Cl)C(CBr)CC1(Cl)C2(Cl)Cl,1715-40-8,,,algae_growth_ec50,100.0,mg/L,-3.590809053491627,,Desmodesmus subspicatus,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Scenedesmaceae;Desmodesmus;Desmodesmus subspicatus,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2012388,2019,1,single,,
ACTOXUHEUCPTEW-JMRHEKERSA-N,CO[C@@H]1[C@@H](OC2OC(C)C(OC3CC(C)(O)C(O)C(C)O3)C(N(C)C)C2O)[C@@H](CC=O)C[C@@H](C)[C@@H](OC2CCC(N(C)C)C(C)O2)/C=C/C=C/C[C@@H](C)OC(=O)C[C@H]1O,CO[C@H]1[C@H](O)CC(=O)O[C@H](C)C/C=C/C=C/[C@H](OC2CCC(C(C)O2)N(C)C)[C@H](C)C[C@H](CC=O)[C@@H]1OC3OC(C)C(OC4CC(C)(O)C(O)C(C)O4)C(C3O)N(C)C,8025-81-8,,,algae_growth_ec50,2.3,mg/L,-5.5638492928308425,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,211967,2002,1,single,,
IWDCLRJOBJJRNH-UHFFFAOYSA-N,Cc1ccc(O)cc1,Cc1ccc(O)cc1,106-44-5,,,algae_growth_ec50,0.11,mg/L,-5.992262290185886,,Chlorella vulgaris,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Oocystaceae;Chlorella;Chlorella vulgaris,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2449023,2019,1,single,,
XDDAORKBJWWYJS-UHFFFAOYSA-N,O=C(O)CNCP(=O)(O)O,OC(=O)CNC[P](O)(O)=O,1071-83-6,,,algae_growth_ec50,32.92719240992162,mg/L,-3.7103680017991847,,Desmodesmus subspicatus,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Scenedesmaceae;Desmodesmus;Desmodesmus subspicatus,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2139273,2019,2,geomean,0.3279638541987828,
AVKUERGKIZMTKX-FOQMGDCRSA-N,CC1(C)S[C@@H]2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,[Na+].CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C([O-])=O,69-52-3,,,algae_growth_ec50,999.9999999999998,mg/L,-2.5429618251348516,,Selenastrum capricornutum,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Selenastrum;Selenastrum capricornutum,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2011361,2012,2,geomean,0.0,
METKIMKYRPQLGS-GFCCVEGCSA-N,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,CC(C)NC[C@@H](O)COc1ccc(CC(N)=O)cc1,56715-13-0,,,algae_growth_ec50,190.0,mg/L,-3.146394151445071,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2157662,2013,1,single,,
WSLDOOZREJYCGB-UHFFFAOYSA-N,ClCCCl,ClCCCl,107-06-2,,,algae_growth_ec50,189.0,mg/L,-2.714626895247839,,Desmodesmus subspicatus,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Scenedesmaceae;Desmodesmus;Desmodesmus subspicatus,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2389808,2022,1,single,,
OQMBBFQZGJFLBU-UHFFFAOYSA-N,CCOc1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],CCOc1cc(Oc2ccc(cc2Cl)C(F)(F)F)ccc1[N+]([O-])=O,42874-03-3,,,algae_growth_ec50,0.0011245984410462222,mg/L,-8.506549266826738,,Desmodesmus subspicatus,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Scenedesmaceae;Desmodesmus;Desmodesmus subspicatus,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,199465,2019,3,geomean,1.6597841766182062,high_cv
SCHCPDWDIOTCMJ-UHFFFAOYSA-N,COC(=O)C(C)Oc1ccc(Cl)cc1Cl,COC(=O)C(C)Oc1ccc(Cl)cc1Cl,23844-57-7,,,algae_growth_ec50,0.348,mg/L,-5.85287366190356,,Chlorella vulgaris,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Oocystaceae;Chlorella;Chlorella vulgaris,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2417867,2018,1,single,,
GYSSRZJIHXQEHQ-UHFFFAOYSA-N,CC1=C(C(=O)Nc2ccccc2)SCCO1,CC1=C(SCCO1)C(=O)Nc2ccccc2,5234-68-4,,,algae_growth_ec50,0.64,mg/L,-5.565011135872761,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2440023,2018,1,single,,
UWRBFYBQPCJRRL-UHFFFAOYSA-N,O=C(O)CCN(CC(=O)O)CC(=O)O,OC(=O)CCN(CC(O)=O)CC(O)=O,6245-75-6,,,algae_growth_ec50,19.7,mg/L,-4.017411840335412,,Desmodesmus subspicatus,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Scenedesmaceae;Desmodesmus;Desmodesmus subspicatus,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,210613,2019,1,single,,
WBYWAXJHAXSJNI-VOTSOKGWSA-N,O=C(O)/C=C/c1ccccc1,OC(=O)\C=C\c1ccccc1,140-10-3,,,algae_growth_ec50,0.27,mg/L,-5.739051774267104,,Chlorella vulgaris,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Oocystaceae;Chlorella;Chlorella vulgaris,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2449033,2019,1,single,,
ZZXUZKXVROWEIF-UHFFFAOYSA-N,CCC1COC(=O)O1,CCC1COC(=O)O1,4437-85-8,,,algae_growth_ec50,88.49999999999996,mg/L,-3.11769193485271,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2101957,2013,2,geomean,0.0,
ZEOVXNVKXIPWMS-UHFFFAOYSA-N,CC(C)(Cl)Cl,CC(C)(Cl)Cl,594-20-7,,,algae_growth_ec50,45.0,mg/L,-3.3959460047373926,,Desmodesmus subspicatus,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Scenedesmaceae;Desmodesmus;Desmodesmus subspicatus,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2389818,2022,1,single,,
ZLIBICFPKPWGIZ-UHFFFAOYSA-N,Cc1cc(C)nc(Nc2ccccc2)n1,Cc1cc(C)nc(Nc2ccccc2)n1,53112-28-0,,,algae_growth_ec50,50.0,mg/L,-3.600125134504326,,Chlorella vulgaris,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Chlorococcales;Oocystaceae;Chlorella;Chlorella vulgaris,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,2344351,2016,1,single,,
LSUVGSGHYCLVPU-UHFFFAOYSA-N,[O-][Cl+2]([O-])O,[O-][Cl](=O)=O,14866-68-3,,,algae_growth_ec50,60.55652593753431,mg/L,-3.1419188309205333,,Raphidocelis subcapitata,Plantae;Chlorophyta;nan;nan;Chlorophyceae;Sphaeropleales;Selenastraceae;Raphidocelis;Raphidocelis subcapitata,in_vivo,aquatic,72.0,biomass,EPA ECOTOX ASCII,EPA ECOTOX,183872,2000,1,single,,
