inchikey,smiles_canonical,algae_growth_ec50_value_log,bcf_value_log,bee_acute_contact_ld50_value_log,bee_acute_oral_ld50_value_log,bird_acute_oral_ld50_value_log,daphnia_acute_ec50_value_log,earthworm_acute_lc50_value_log,fish_acute_lc50_value_log,rat_acute_oral_ld50_value_log,skin_sensitization_value_log,soil_dt50_value_log,soil_koc_value_log,presence_count
CTSLUCNDVMMDHG-UHFFFAOYSA-N,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O,,0.51,2.2864115558959783,,,,,,0.3918578901531519,,,1.6,4
STJLVHWMYQXCPB-UHFFFAOYSA-N,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,,,1.3979400086720377,,,,,,0.6432480152549962,,1.5740312677277188,3.39,4
HZJKXKUJVSEEFU-UHFFFAOYSA-N,CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,,,,2.4101020766428607,2.7075701760979363,,,,0.7445553580588016,,,2.7,4
CDLBFJPSMMOYOX-UHFFFAOYSA-N,CCCCC(CC)Cn1c(O)c2c(c1O)C1C=CC2C1,,,,,3.3521825181113627,-5.077902490789853,,-5.521812206814456,1.0075277045347732,,,,4
NEUSVAOJNUQRTM-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC[n+]1ccccc1,,,,,2.244524511570084,-7.616423961956665,,-6.307210517238483,0.0055600263502601915,,,,4
LQZZUXJYWNFBMV-UHFFFAOYSA-N,CCCCCCCCCCCCO,,,,,3.311753861055754,,,-5.26565449041213,1.8372341054530956,,,3.52,4
SMDHCQAYESWHAE-UHFFFAOYSA-N,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],,,2.0043213737826426,,3.3010299956639813,,,,1.4748135315112987,,,4.03,4
JLQUFIHWVLZVTJ-UHFFFAOYSA-N,CCCCN(CCCC)SN(C)C(=O)Oc1cccc2c1OC(C)(C)C2,,,-0.3010299956639812,,0.7397953857803082,,,-6.216415397653268,-0.872457201447476,,,,4
TYIYMOAHACZAMQ-UHFFFAOYSA-N,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C#N)cc2F)cc1,,,2.0,,3.3521825181113627,-4.820243416229807,,-5.706338079699189,,,,,4
VAIZTNZGPYBOGF-UHFFFAOYSA-N,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C(F)(F)F)cn2)cc1,,,1.6989700043360187,,3.449362590794747,,,,0.8652401414192683,,,3.62,4
POAOYUHQDCAZBD-UHFFFAOYSA-N,CCCCOCCO,,,,,,-2.072247616506096,,-1.8990613480938219,0.5998502414296214,,,1.83,4
NCMJQZVNCFTQPG-UHFFFAOYSA-N,CCCCOCCOC(=O)C(C)Oc1ccc(Cl)cc1Cl,,,,,3.1809855807867304,-5.425202221848901,,-5.377036153545226,,,,3.0,4
STCOOQWBFONSKY-UHFFFAOYSA-N,CCCCOP(=O)(OCCCC)OCCCC,-5.1808750919850715,1.47,,,,,,-4.589114156574832,0.7194237573743227,,,,4
ZSDSQXJSNMTJDA-UHFFFAOYSA-N,CCCN(CCC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],,3.36,,1.6989700043360187,3.3521825181113627,,,,,,,4.2,4
UMKANAFDOQQUKE-UHFFFAOYSA-N,CCCN(CCC)c1c([N+](=O)[O-])cc(S(C)(=O)=O)cc1[N+](=O)[O-],,,,,3.3010299956639813,-7.935884283773621,,-3.9031878029926252,,,,2.92,4
QYMMJNLHFKGANY-UHFFFAOYSA-N,CCCSP(=O)(OCC)Oc1ccc(Br)cc1Cl,,,,,1.888894593717434,-8.513258236943965,,-6.910169310105104,,,,3.03,4
VJYFKVYYMZPMAB-UHFFFAOYSA-N,CCCSP(=O)(OCC)SCCC,,,0.41161970596323016,,0.7008011173443792,,,,-0.8654026452596906,,,1.85,4
QHTQREMOGMZHJV-UHFFFAOYSA-N,CCN(CC)C(=O)SCc1ccc(Cl)cc1,,2.23,2.0,,,,,,0.5537463757341052,,,3.27,4
ZMANZCXQSJIPKH-UHFFFAOYSA-N,CCN(CC)CC,,0.69,1.6989700043360187,1.6989700043360187,,,,,0.6579188403017109,,,,4
PWNAWOCHVWERAR-UHFFFAOYSA-N,CCN(Cc1c(F)cccc1Cl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],,,1.2329961103921538,,3.3010299956639813,,,,0.8670329252755615,,,4.0,4
CCEKAJIANROZEO-UHFFFAOYSA-N,CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,,,,,2.1886731633650065,-5.597004172376348,,-4.955866985173256,-0.01679011239330555,,,,4
PQKBPHSEKWERTG-UHFFFAOYSA-N,CCOC(=O)C(C)Oc1ccc(Oc2nc3ccc(Cl)cc3o2)cc1,,,2.6989700043360187,,3.3010299956639813,,,,0.8147661314518415,,,3.98,4
XAMUDJHXFNRLCY-UHFFFAOYSA-N,CCOC(=O)C(SP(=S)(OC)OC)c1ccccc1,,1.69,-0.51427857351842,,,,,,-0.6539331402711421,,,3.0,4
APTZNLHMIGJTEW-UHFFFAOYSA-N,CCOC(=O)COc1cc(-c2nn(C)c(OC(F)F)c2Cl)c(F)cc1Cl,,,2.0,,3.3010299956639813,-5.734105176573819,,-4.93165172829836,,,,,4
NKNFWVNSBIXGLL-UHFFFAOYSA-N,CCOC(=O)CSc1nc(C(C)(C)C)nn1C(=O)N(C)C,,,1.6989700043360187,,0.8762178405916422,-5.367089289501349,,-4.9395620383674235,,,,,4
WZJZMXBKUWKXTQ-UHFFFAOYSA-N,CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,,,1.6989700043360187,,3.3010299956639813,,,,1.5049893089635153,,,3.18,4
IRCMYGHHKLLGHV-UHFFFAOYSA-N,CCOC1Oc2ccc(OS(C)(=O)=O)cc2C1(C)C,,,,1.3424226808222062,3.5770319856260313,,,,0.5965795689424157,,,2.53,4
AWZOLILCOUMRDG-UHFFFAOYSA-N,CCOP(=O)(Sc1ccccc1)Sc1ccccc1,,1.51,,,3.433769833924866,,,-5.099204492981772,-0.49139686795130055,,,,4
BXNANOICGRISHX-UHFFFAOYSA-N,CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,,,,0.4913616938342727,0.915649589824486,-9.27542468797502,,-5.230476283369493,,,,,4
DOFZAZXDOSGAJZ-UHFFFAOYSA-N,CCOP(=S)(OCC)SCCSCC,,2.34,0.43216726944258826,,,,,,-2.1590420999602573,,,3.22,4
AIGRXSNSLVJMEA-UHFFFAOYSA-N,CCOP(=S)(Oc1ccc([N+](=O)[O-])cc1)c1ccccc1,,2.97,-0.6108339156354675,,,,,,-1.6641557281369754,,,3.12,4
DEDOPGXGGQYYMW-UHFFFAOYSA-N,CCSC(=O)N1CCCCCC1,,1.41,,0.6989700043360189,,,,,0.29494541746902225,,,1.92,4
PMCVMORKVPSKHZ-UHFFFAOYSA-N,CC[S+]([O-])CCSP(=O)(OC)OC,,,,-0.5086383061657274,1.4014876466154558,,,,-0.7097202401178605,,,1.0,4
XCSGPAVHZFQHGE-UHFFFAOYSA-N,CCc1cccc(CC)c1N(COC)C(=O)CCl,,1.12,1.5594277997594899,,,,,,0.4676839306715238,,,2.28,4
RZILCCPWPBTYDO-UHFFFAOYSA-N,CN(C)C(=O)Nc1cccc(C(F)(F)F)c1,,,2.0,,3.4028897120507704,,,,0.7957258933066788,,,1.9,4
MCWXGJITAZMZEV-UHFFFAOYSA-N,CNC(=O)CSP(=S)(OC)OC,,0.2,-0.7594507517174003,,1.166155060575094,,,,,,,1.2,4
YNEVBPNZHBAYOA-UHFFFAOYSA-N,CNC(=O)Oc1cc(C)c(N(C)C)c(C)c1,,1.42,-0.7340036295049208,,,,,,-1.2004925300353537,,,2.48,4
YFBPRJGDJKVWAH-UHFFFAOYSA-N,CNC(=O)Oc1cc(C)c(SC)c(C)c1,,,-0.42596873227228116,,0.6989700043360189,,,,-1.05131144460642,,,2.32,4
CVQODEWAPZVVBU-UHFFFAOYSA-N,CNC(=O)Oc1cc(C)cc(C)c1,,0.4,,-0.3010299956639812,,,,,0.1360835235296868,,,1.71,4
RMFNNCGOSPBBAD-UHFFFAOYSA-N,CNC(=O)Oc1cccc(N=CN(C)C)c1,,,,-0.5853481135844876,1.5050439234992623,,,,-1.0435910118122986,,,2.44,4
